journal,apc,parent
Archives of Sexual Behavior,3190,Springer Nature
Journal of Sex & Marital Therapy,4369,Taylor & Francis
The Journal of Sexual Medicine,3728,Oxford University Press
European Journal of Developmental Psychology,3988,Taylor & Francis
The Journal of Clinical Endocrinology & Metabolism,3938,Oxford University Press
Acta Paediatrica,4690,Wiley
BMJ,8090,BMJ Group
Pediatrics,3100,American Academy of Pediatrics
Archives of Disease in Childhood,5877,BMJ Group
Child and Adolescent Mental Health,3700,Wiley
European Journal of Endocrinology,4538,Oxford University Press
JAMA Pediatrics,6000,JAMA Network
International Journal of Transgender Health,5166,Taylor & Francis
Journal of Adolescent Health,4070,Elsevier
Journal of Medical Ethics,5977,BMJ Group
Australasian Psychiatry,4440,Sage Publications
The Journal of Pediatrics,4510,Elsevier
Clinical Child Psychology and Psychiatry,3910,Sage Publications
Journal of the American Academy of Child & Adolescent Psychiatry,4420,Elsevier
The International Journal of Psychoanalysis,3607,Taylor & Francis
The Lancet Child & Adolescent Health,8090,Elsevier
American Journal of Psychiatry,0,American Psychiatric Association
Journal of Child Psychotherapy,3272,Taylor & Francis
Nordic Journal of Psychiatry,3607,Taylor & Francis
PLOS ONE,2477,PLoS
Children,2966,MDPI
European Child & Adolescent Psychiatry,4990,Springer Nature
Frontiers in Endocrinology,3893,Frontiers Media
International Journal of Transgenderism,0,Taylor & Francis
Nature Human Behaviour,12850,Springer Nature
Psychoneuroendocrinology,3780,Elsevier
Endocrine Practice,3850,Elsevier
Frontiers in Immunology,3893,Frontiers Media
JAMA Network Open,4000,JAMA Network
Journal of Clinical Medicine,3214,MDPI
Journal of Homosexuality,4370,Taylor & Francis
Journal of Pediatric Endocrinology and Metabolism,1667,De Gruyter Brill
New England Journal of Medicine,0,NEJM Group
106,,
Bone,3830,Elsevier
Current Opinion in Psychology,4050,Elsevier
Current Sexual Health Reports,4390,Springer Nature
European Psychiatry,3655,Cambridge University Press
Frontiers in Global Women's Health,3331,Frontiers Media
Hormone Research in Paediatrics,4190,Karger
Journal of Analytical Psychology,3300,Wiley
Journal of Autism and Developmental Disorders,3290,Springer Nature
Journal of Clinical Nursing,5450,Wiley
Journal of Controversial Ideas,0,Foundation for Freedom of Thought and Discussion
Journal of the Endocrine Society,3418,Oxford University Press
PLOS Global Public Health,2596,PLoS
Plastic and Reconstructive Surgery - Global Open,2765,American Society of Plastic Surgeons
Psychology of Sexual Orientation and Gender Diversity,3500,American Psychological Association
Scientific Reports,2850,Springer Nature
The Journal of Adolescent Health: Official Publication of the Society for Adolescent Medicine,4070,Elsevier
The Lancet Regional Health - Americas,5800,Elsevier
The Lancet. Child & Adolescent Health,8090,Elsevier
The New Bioethics,3272,Taylor & Francis
Transgender Health,4440,Sage Publications
      https://journals.lww.com/10.1097/PRS.0000000000011734,,
      https://opa.hhs.gov/sites/default/files/2025-05/gender-dysphoria-report.pdf,,
      https://www.medrxiv.org/content/10.1101/2025.05.14.25327614v1,,
Annals of Plastic Surgery,4300,Wolters Kluwer
Annals of internal medicine,0,American College of Physicians
BJPsych Open,3655,Cambridge University Press
Brain,6099,Oxford University Press
British Journal of General Practice,3342,Royal College of General Practitioners
Child Maltreatment,4170,Sage Publications
Child and Adolescent Psychiatry and Mental Health,3290,Springer Nature
Circulation,5400,American Heart Association
Clinical Case Reports,1910,Wiley
Controversial Ideas,0,Foundation for Freedom of Thought and Discussion
Cureus,0,Springer Nature
Discover Mental Health,1790,Springer Nature
Endocrine,5190,Springer Nature
Family & Law,0,
Frontiers in Psychology,3893,Frontiers Media
General Psychiatry,2700,Wiley
Healthcare,3337,MDPI
Human Systems,3640,Sage Publications
International Journal of Pediatric Endocrinology,0,Springer Nature
International Review of Psychiatry,4819,Taylor & Francis
Journal of pediatric endocrinology & metabolism: JPEM,1675,De Gruyter Brill
Nederlands Tijdschrift Voor Geneeskunde,0,Society NTvG
Psychiatry Research,4020,Elsevier
Public Health Reports,4710,Sage Publications
Research Connections,2150,Oxford University Press
Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie,0,Hogrefe
eClinicalMedicine,6810,Elsevier
      https://blogs.bmj.com/bmjebmspotlight/2019/02/25/gender-affirming-hormone-in-children-and-adolescents-evidence-review/,,
      https://cass.independent-review.uk/wp-content/uploads/2024/04/CassReview_Final.pdf,,
      https://doi.org/10.1056/nejmc2302030,,
      https://palveluvalikoima.fi/documents/1237350/22895623/Summary_non-binary_en.pdf/8e5f9035-6c98-40d9-6acd-7459516d6f92/Summary_non-binary_en.pdf,,
      https://register.awmf.org/assets/guidelines/028-014l_S2k_Geschlechtsinkongruenz-Geschlechtsdysphorie-Kinder-Jugendliche_2025-06.pdf,,
      https://sarahmittermaier.substack.com/p/it-is-the-ultimate-dissonance,,
      https://users.ox.ac.uk/~sfos0060/Biggs_ExperimentPubertyBlockers.pdf,,
      https://www.engage.england.nhs.uk/consultation/puberty-suppressing-hormones/user_uploads/nice-evidence-review-gnrh-analogues-for-children-and-adolescents-with-gender-dysphoria-october-2020.pdf,,
