"author","title","journal","year","doi_link","article.type"
"Allen L R","Changes in Suicidality among Transgender Adolescents Following Hormone Therapy: An Extended Study","The Journal of Pediatrics",2026,"linkinghub.elsevier.com/retrieve/pii/S002234762500424X","Data Analysis"
"KulatungaMoruzi C","The Cass Review and Gender-Related Care for Young People in Canada: A Commentary on the Canadian Paediatric Society Position Statement on Transgender and Gender-Diverse Youth","Archives of Sexual Behavior",2025,"doi.org/10.1007/s10508-025-03335-8","Editorial"
"Cohn J","Censorship of Essential Debate in Gender Medicine Research","Journal of Controversial Ideas",2025,"journalofcontroversialideas.org/article/5/2/298","Editorial"
"Gohil A","Observations of the effect of gonadotropin-releasing hormone analog treatment on psychosocial well-being in transgender youth and their caregivers – a pilot study","Journal of Pediatric Endocrinology and Metabolism",2025,"www.degruyterbrill.com/document/doi/10.1515/jpem-2025-0108/html","Data Analysis"
"Kozlowska K","Obstacles to progress in paediatric gender medicine","European Journal of Developmental Psychology",2025,"www.tandfonline.com/doi/full/10.1080/17405629.2025.2546574","Editorial"
"van der Meulen I S","Sexual satisfaction and dysfunction in transgender adults following puberty suppression treatment during adolescence","The Journal of Sexual Medicine",2025,"doi.org/10.1093/jsxmed/qdaf095","Data Analysis"
"Rackliff K","“Providers had no idea what to do with me”: A mixed-methods analysis of detransition/retransition support, care, and information needs among sexual and gender minority individuals","International Journal of Transgender Health",2025,"www.tandfonline.com/doi/full/10.1080/26895269.2025.2538744","Data Analysis"
"Hutchinson A","Cass informed psychotherapy for gender distressed youth","European Journal of Developmental Psychology",2025,"www.tandfonline.com/doi/abs/10.1080/17405629.2025.2540809","Editorial"
"Anllo L","Challenges of Sexual Life after Detransition: Trauma, Disenfranchized Grief, and Unmet Needs","Journal of Sex & Marital Therapy",2025,"www.tandfonline.com/doi/full/10.1080/0092623X.2025.2531167","Editorial"
"Kaltiala R","Medical gender reassignment in minors – why are we cautious in Finland?","European Journal of Developmental Psychology",2025,"doi.org/10.1080/17405629.2025.2533168","Editorial"
"OlsonKennedy J","Mental and Emotional Health of Youth after 24 months of Gender-Affirming Medical Care Initiated with Pubertal Suppression","medRxiv",2025,"www.medrxiv.org/content/10.1101/2025.05.14.25327614v1","Preprint"
"McDeavitt K","Pediatric gender affirming care is not evidence-based","Current Sexual Health Reports",2025,"link.springer.com/10.1007/s11930-025-00404-w","Review"
"Laidlaw M K","Fertility preservation: is there a model for gender-dysphoric youth?","Frontiers in Endocrinology",2025,"www.frontiersin.org/articles/10.3389/fendo.2025.1386716/full","Review"
"Van Breukelen G J","How to improve research methodology in gender care: a non-binary choice","European Journal of Developmental Psychology",2025,"www.tandfonline.com/doi/full/10.1080/17405629.2025.2485221","Review"
"Smeehuijzen L","A Legal Assessment of the Dutch Protocol for Transgender Care to Children: Evidence, Ethics and Procedure","Family & Law",2025,"www.boomportaal.nl/doi/10.5553/FenR/.000069","Review"
"Oosthoek E D","Gender-affirming medical treatment for adolescents: A critical reflection on “effective” treatment outcomes","BMC Medical Ethics",2024,"bmcmedethics.biomedcentral.com/articles/10.1186/s12910-024-01143-8","Review"
"Miroshnychenko A","Mastectomy for individuals with gender dysphoria below 26 years of age: A systematic review and meta-analysis","Plastic and Reconstructive Surgery",2024,"journals.lww.com/10.1097/PRS.0000000000011734","Data Analysis"
"Khosravi M","Gender-affirming hormone therapy and suicide-related outcomes in transgender and gender-diverse populations: a systematic review and meta-analysis","Mental Wellness",2026,"www.mental-wellness-journal.net/mw/article/view/42","Data Analysis"
"Heathcote C","Psychosocial support interventions for children and adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326347","Data Analysis"
"Hall R","Impact of social transition in relation to gender for children and adolescents: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326112","Data Analysis"
"Miroshnychenko A","Puberty blockers for gender dysphoria in youth: A systematic review and meta-analysis","Archives of Disease in Childhood",2025,"adc.bmj.com/content/early/2025/01/29/archdischild-2024-327909","Data Analysis"
"Zepf F D","Beyond NICE: Updated systematic review on the current evidence for using puberty blockers and cross-sex hormones in minors with gender dysphoria: Electronic supplementary online materials I: adapted abbreviated English version","Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie",2024,"econtent.hogrefe.com/doi/suppl/10.1024/1422-4917/a000972/suppl_file/1422-4917_a000972_esm1.pdf","Data Analysis"
"Taylor J","Interventions to suppress puberty in adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326669","Data Analysis"
"Thompson L","A PRISMA systematic review of adolescent gender dysphoria literature: 3) treatment","PLOS Global Public Health",2023,"dx.plos.org/10.1371/journal.pgph.0001478","Data Analysis"
"Ludvigsson J F","A systematic review of hormone treatment for children with gender dysphoria and recommendations for research","Acta Paediatrica",2023,"onlinelibrary.wiley.com/doi/abs/10.1111/apa.16791","Data Analysis"
"Miroshnychenko A","Gender affirming hormone therapy for individuals with gender dysphoria aged <26 years: a systematic review and meta-analysis","Archives of Disease in Childhood",2025,"adc.bmj.com/content/early/2025/02/06/archdischild-2024-327921","Data Analysis"
"Taylor J","Masculinising and feminising hormone interventions for adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326670","Data Analysis"
"Moreira Allgayer R M","The Effect of Gender-Affirming Hormone Therapy on the Risk of Subclinical Atherosclerosis in the Transgender Population: A Systematic Review","Endocrine Practice",2023,"linkinghub.elsevier.com/retrieve/pii/S1530891X22009090","Data Analysis"
"Baker K E","Hormone Therapy, Mental Health, and Quality of Life Among Transgender People: A Systematic Review","Journal of the Endocrine Society",2021,"academic.oup.com/jes/article/doi/10.1210/jendso/bvab011/6126016","Data Analysis"
"DelgadoRuiz R","Systematic Review of the Long-Term Effects of Transgender Hormone Therapy on Bone Markers and Bone Mineral Density and Their Potential Effects in Implant Therapy","Journal of Clinical Medicine",2019,"www.mdpi.com/2077-0383/8/6/784","Data Analysis"
"Chew D","Hormonal Treatment in Young People With Gender Dysphoria: A Systematic Review","Pediatrics",2018,"www.academia.edu/57779740/Hormonal_Treatment_in_Young_People_With_Gender_Dysphoria_A_Systematic_Review","Data Analysis"
"Zhang Y","Quality of the World Professional Association for Transgender Health Guideline Standards of Care 8: An Appraisal Using the AGREE II Instrument","Archives of Sexual Behavior",2026,"link.springer.com/10.1007/s10508-025-03399-6","Data Analysis"
"Cihan H","Endocrine care of transgender and gender-diverse adults: Swiss recommendations","Swiss Medical Weekly",2026,"smw.ch/index.php/smw/article/view/5059","Review"
"Hannema S E","Endocrine Management of Transgender and Gender-Diverse Adolescents: Expert Opinion of the ESPE Working Group on Gender Incongruence and the Endo-ERN Main Thematic Group on Sexual Development and Maturation","Hormone Research in Paediatrics",2024,"doi.org/10.1159/000542904","Review"
"Coleman E","Standards of care for the health of transgender and gender diverse people, version 8","International Journal of Transgender Health",2022,"www.tandfonline.com/doi/full/10.1080/26895269.2022.2100644","Review"
"Cass H","Review of gender identity services for children and young people","BMJ",2022,"www.bmj.com/lookup/doi/10.1136/bmj.o629","Editorial"
"Hembree W C","Endocrine Treatment of Gender-Dysphoric/Gender-Incongruent Persons: An Endocrine Society Clinical Practice Guideline","Endocrine Practice",2017,"academic.oup.com/jcem/article/102/11/3869/4157558","Review"
"American Psychological Association","Guidelines for psychological practice with transgender and gender nonconforming people","American Psychologist",2015,"http://doi.apa.org/getdoi.cfm?doi=10.1037/a0039906","Review"
"Mason J W","The Influence of Politics on Psychological Interventions for Pediatric Gender Dysphoria","Current Opinion in Psychology",2026,"www.sciencedirect.com/science/article/pii/S2352250X26000503","Review"
"Smids J","The moral case for non-medical interventions in adolescents with gender dysphoria","European Journal of Developmental Psychology",2026,"www.tandfonline.com/doi/full/10.1080/17405629.2026.2650279","Editorial"
"Doran T","Debate: Standing up for science – how to combat misinformation in child mental health? Evidence and ideology in gender dysphoria research","Child and Adolescent Mental Health",2026,"onlinelibrary.wiley.com/doi/abs/10.1111/camh.70054","Editorial"
