"title","journal","authors","abstract","doi_link","year"
"Changes in Suicidality among Transgender Adolescents Following Hormone Therapy: An Extended Study","The Journal of Pediatrics","Allen, L. R., Dodd, C. G., Moser, C. N., Knoll, M. M.","Allen, L. R., Dodd, C. G., Moser, C. N., Knoll, M. M.
(2026)
  Changes in Suicidality among Transgender Adolescents Following Hormone Therapy: An Extended Study.
    The Journal of Pediatrics","Allen, L. R., Dodd, C. G., Moser, C. N., Knoll, M. M.
(2026)
  Changes in Suicidality among Transgender Adolescents Following Hormone Therapy: An Extended Study.
    The Journal of Pediatrics",2026
"The Cass Review and Gender-Related Care for Young People in Canada: A Commentary on the Canadian Paediatric Society Position Statement on Transgender and Gender-Diverse Youth","Archives of Sexual Behavior","Kulatunga Moruzi, C., Sim, P., Mitchell, I., Palmer, D., Joffe, A. R.","Kulatunga Moruzi, C., Sim, P., Mitchell, I., Palmer, D., Joffe, A. R.
(2025)
  The Cass Review and Gender-Related Care for Young People in Canada: A Commentary on the Canadian Paediatric Society Position Statement on Transgender and Gender-Diverse Youth.
    Archives of Sexual Behavior","Kulatunga Moruzi, C., Sim, P., Mitchell, I., Palmer, D., Joffe, A. R.
(2025)
  The Cass Review and Gender-Related Care for Young People in Canada: A Commentary on the Canadian Paediatric Society Position Statement on Transgender and Gender-Diverse Youth.
    Archives of Sexual Behavior",2025
"Censorship of Essential Debate in Gender Medicine Research","Journal of Controversial Ideas","Cohn, J.","Cohn, J.
(2025)
  Censorship of Essential Debate in Gender Medicine Research.
    Journal of Controversial Ideas","Cohn, J.
(2025)
  Censorship of Essential Debate in Gender Medicine Research.
    Journal of Controversial Ideas",2025
"Observations of the effect of gonadotropin-releasing hormone analog treatment on psychosocial well-being in transgender youth and their caregivers – a pilot study","Journal of Pediatric Endocrinology and Metabolism","Gohil, A., Donahue, K., Eugster, E. A.","Gohil, A., Donahue, K., Eugster, E. A.
(2025)
  Observations of the effect of gonadotropin-releasing hormone analog treatment on psychosocial well-being in transgender youth and their caregivers – a pilot study.
    Journal of Pediatric Endocrinology and Metabolism","Gohil, A., Donahue, K., Eugster, E. A.
(2025)
  Observations of the effect of gonadotropin-releasing hormone analog treatment on psychosocial well-being in transgender youth and their caregivers – a pilot study.
    Journal of Pediatric Endocrinology and Metabolism",2025
"Obstacles to progress in paediatric gender medicine","European Journal of Developmental Psychology","Kozlowska, K., Hunter, P., Clayton, A., Kaliebe, K., Scher, S.","Kozlowska, K., Hunter, P., Clayton, A., Kaliebe, K., Scher, S.
(2025)
  Obstacles to progress in paediatric gender medicine.
    European Journal of Developmental Psychology","Kozlowska, K., Hunter, P., Clayton, A., Kaliebe, K., Scher, S.
(2025)
  Obstacles to progress in paediatric gender medicine.
    European Journal of Developmental Psychology",2025
"Sexual satisfaction and dysfunction in transgender adults following puberty suppression treatment during adolescence","The Journal of Sexual Medicine","van der Meulen, I. S., Arnoldussen, M., van der Miesen, A. I. R., Hannema, S. E., Steensma, T. D., de Vries, A. L. C., Kreukels, B. P. C.","van der Meulen, I. S., Arnoldussen, M., van der Miesen, A. I. R., Hannema, S. E., Steensma, T. D., de Vries, A. L. C., Kreukels, B. P. C.
(2025)
  Sexual satisfaction and dysfunction in transgender adults following puberty suppression treatment during adolescence.
    The Journal of Sexual Medicine","van der Meulen, I. S., Arnoldussen, M., van der Miesen, A. I. R., Hannema, S. E., Steensma, T. D., de Vries, A. L. C., Kreukels, B. P. C.
(2025)
  Sexual satisfaction and dysfunction in transgender adults following puberty suppression treatment during adolescence.
    The Journal of Sexual Medicine",2025
"“Providers had no idea what to do with me”: A mixed-methods analysis of detransition/retransition support, care, and information needs among sexual and gender minority individuals","International Journal of Transgender Health","Rackliff, K., Expósito-Campos, P., Gould, W. A., Kinitz, D. J., Rosen, M., Rudd, S., Lam, J. S. H., Pullen Sansfaçon, A., MacKinnon, K. R.","Rackliff, K., Expósito-Campos, P., Gould, W. A., Kinitz, D. J., Rosen, M., Rudd, S., Lam, J. S. H., Pullen Sansfaçon, A., MacKinnon, K. R.
(2025)
  “Providers had no idea what to do with me”: A mixed-methods analysis of detransition/retransition support, care, and information needs among sexual and gender minority individuals.
    International Journal of Transgender Health","Rackliff, K., Expósito-Campos, P., Gould, W. A., Kinitz, D. J., Rosen, M., Rudd, S., Lam, J. S. H., Pullen Sansfaçon, A., MacKinnon, K. R.
(2025)
  “Providers had no idea what to do with me”: A mixed-methods analysis of detransition/retransition support, care, and information needs among sexual and gender minority individuals.
    International Journal of Transgender Health",2025
"Cass informed psychotherapy for gender distressed youth","European Journal of Developmental Psychology","Hutchinson, A.","Hutchinson, A.
(2025)
  Cass informed psychotherapy for gender distressed youth.
    European Journal of Developmental Psychology","Hutchinson, A.
(2025)
  Cass informed psychotherapy for gender distressed youth.
    European Journal of Developmental Psychology",2025
"Challenges of Sexual Life after Detransition: Trauma, Disenfranchized Grief, and Unmet Needs","Journal of Sex & Marital Therapy","Anllo, L.","Anllo, L.
(2025)
  Challenges of Sexual Life after Detransition: Trauma, Disenfranchized Grief, and Unmet Needs.
    Journal of Sex & Marital Therapy","Anllo, L.
(2025)
  Challenges of Sexual Life after Detransition: Trauma, Disenfranchized Grief, and Unmet Needs.
    Journal of Sex & Marital Therapy",2025
"Review of data, statistics and research on sex and gender: Report 2. Barriers to research on sex and gender","      https://www.sullivanreview.uk/documents.php","Sullivan, A.","Sullivan, A.
(2025)
  Review of data, statistics and research on sex and gender: Report 2. Barriers to research on sex and gender.
          https://www.sullivanreview.uk/documents.php","www.sullivanreview.uk/documents.php",2025
"Medical gender reassignment in minors – why are we cautious in Finland?","European Journal of Developmental Psychology","Kaltiala, R.","Kaltiala, R.
(2025)
  Medical gender reassignment in minors – why are we cautious in Finland?.
    European Journal of Developmental Psychology","Kaltiala, R.
(2025)
  Medical gender reassignment in minors – why are we cautious in Finland?.
    European Journal of Developmental Psychology",2025
"Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development","      https://www.ohchr.org/en/documents/thematic-reports/ahrc5947-sex-based-violence-against-women-and-girls-new-frontiers-and","Alsalem, R.","Alsalem, R.
(2025)
  Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development.
          https://www.ohchr.org/en/documents/thematic-reports/ahrc5947-sex-based-violence-against-women-and-girls-new-frontiers-and","www.ohchr.org/en/documents/thematic-reports/ahrc5947-sex-based-violence-against-women-and-girls-new-frontiers-and",2025
"Mental and Emotional Health of Youth after 24 months of Gender-Affirming Medical Care Initiated with Pubertal Suppression","      https://www.medrxiv.org/content/10.1101/2025.05.14.25327614v1","Olson-Kennedy, J., Durazo-Arvizu, R., Wang, L., Wong, C. F., Chen, D., Ehrensaft, D., Hidalgo, Marco A., Chan, Y. M., Garofalo, R., …, Rosenthal, S. M.","Olson-Kennedy, J., Durazo-Arvizu, R., Wang, L., Wong, C. F., Chen, D., Ehrensaft, D., Hidalgo, Marco A., Chan, Y. M., Garofalo, R., …, Rosenthal, S. M.
(2025)
  Mental and Emotional Health of Youth after 24 months of Gender-Affirming Medical Care Initiated with Pubertal Suppression.
          https://www.medrxiv.org/content/10.1101/2025.05.14.25327614v1","www.medrxiv.org/content/10.1101/2025.05.14.25327614v1",2025
"Pediatric gender affirming care is not evidence-based","Current Sexual Health Reports","McDeavitt, K., Cohn, J., Kulatunga-Moruzi, C.","McDeavitt, K., Cohn, J., Kulatunga-Moruzi, C.
(2025)
  Pediatric gender affirming care is not evidence-based.
    Current Sexual Health Reports","McDeavitt, K., Cohn, J., Kulatunga-Moruzi, C.
(2025)
  Pediatric gender affirming care is not evidence-based.
    Current Sexual Health Reports",2025
"Treatment for Pediatric Gender Dysphoria: Review of Evidence and Best Practices","      https://opa.hhs.gov/sites/default/files/2025-05/gender-dysphoria-report.pdf","Department of Health and Human Services","Department of Health and Human Services
(2025)
  Treatment for Pediatric Gender Dysphoria: Review of Evidence and Best Practices.
          https://opa.hhs.gov/sites/default/files/2025-05/gender-dysphoria-report.pdf","opa.hhs.gov/sites/default/files/2025-05/gender-dysphoria-report.pdf",2025
"Fertility preservation: is there a model for gender-dysphoric youth?","Frontiers in Endocrinology","Laidlaw, M. K., Lahl, J., Thompson, A.","Laidlaw, M. K., Lahl, J., Thompson, A.
(2025)
  Fertility preservation: is there a model for gender-dysphoric youth?.
    Frontiers in Endocrinology","Laidlaw, M. K., Lahl, J., Thompson, A.
(2025)
  Fertility preservation: is there a model for gender-dysphoric youth?.
    Frontiers in Endocrinology",2025
"How to improve research methodology in gender care: a non-binary choice","European Journal of Developmental Psychology","Van Breukelen, G. J.","Van Breukelen, G. J.
(2025)
  How to improve research methodology in gender care: a non-binary choice.
    European Journal of Developmental Psychology","Van Breukelen, G. J.
(2025)
  How to improve research methodology in gender care: a non-binary choice.
    European Journal of Developmental Psychology",2025
"A Legal Assessment of the Dutch Protocol for Transgender Care to Children: Evidence, Ethics and Procedure","Family & Law","Smeehuijzen, L., Smids, J., Hoekstra, C.","Smeehuijzen, L., Smids, J., Hoekstra, C.
(2025)
  A Legal Assessment of the Dutch Protocol for Transgender Care to Children: Evidence, Ethics and Procedure.
    Family & Law","Smeehuijzen, L., Smids, J., Hoekstra, C.
(2025)
  A Legal Assessment of the Dutch Protocol for Transgender Care to Children: Evidence, Ethics and Procedure.
    Family & Law",2025
"Gender-affirming medical treatment for adolescents: A critical reflection on “effective” treatment outcomes","BMC Medical Ethics","Oosthoek, E. D., Stanwich, S., Gerritse, K., Doyle, D. M., De Vries, A. L.","Oosthoek, E. D., Stanwich, S., Gerritse, K., Doyle, D. M., De Vries, A. L.
(2024)
  Gender-affirming medical treatment for adolescents: A critical reflection on “effective” treatment outcomes.
    BMC Medical Ethics","Oosthoek, E. D., Stanwich, S., Gerritse, K., Doyle, D. M., De Vries, A. L.
(2024)
  Gender-affirming medical treatment for adolescents: A critical reflection on “effective” treatment outcomes.
    BMC Medical Ethics",2024
"Mastectomy for individuals with gender dysphoria below 26 years of age: A systematic review and meta-analysis","      https://journals.lww.com/10.1097/PRS.0000000000011734","Miroshnychenko, A., Roldan, Y. M., Ibrahim, S., Kulatunga-Moruzi, C., Dahlin, K., Montante, S., Couban, R., Guyatt, G., Brignardello-Petersen, R.","Miroshnychenko, A., Roldan, Y. M., Ibrahim, S., Kulatunga-Moruzi, C., Dahlin, K., Montante, S., Couban, R., Guyatt, G., Brignardello-Petersen, R.
(2024)
  Mastectomy for individuals with gender dysphoria below 26 years of age: A systematic review and meta-analysis.
          https://journals.lww.com/10.1097/PRS.0000000000011734","journals.lww.com/10.1097/PRS.0000000000011734",2024
"Gender-affirming hormone therapy and suicide-related outcomes in transgender and gender-diverse populations: a systematic review and meta-analysis","Mental Wellness","Khosravi, M., Tusconi, M., Noor, I. M., Hsu, C. Y., Sahoo, S., Aminov, Z., Mishra, S.","Khosravi, M., Tusconi, M., Noor, I. M., Hsu, C. Y., Sahoo, S., Aminov, Z., Mishra, S.
(2026)
  Gender-affirming hormone therapy and suicide-related outcomes in transgender and gender-diverse populations: a systematic review and meta-analysis.
    Mental Wellness","Khosravi, M., Tusconi, M., Noor, I. M., Hsu, C. Y., Sahoo, S., Aminov, Z., Mishra, S.
(2026)
  Gender-affirming hormone therapy and suicide-related outcomes in transgender and gender-diverse populations: a systematic review and meta-analysis.
    Mental Wellness",2026
"Psychosocial support interventions for children and adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood","Heathcote, C., Taylor, J., Hall, R., Jarvis, S. W., Langton, T., Hewitt, C. E., Fraser, L.","Heathcote, C., Taylor, J., Hall, R., Jarvis, S. W., Langton, T., Hewitt, C. E., Fraser, L.
(2024)
  Psychosocial support interventions for children and adolescents experiencing gender dysphoria or incongruence: a systematic review.
    Archives of Disease in Childhood","Heathcote, C., Taylor, J., Hall, R., Jarvis, S. W., Langton, T., Hewitt, C. E., Fraser, L.
(2024)
  Psychosocial support interventions for children and adolescents experiencing gender dysphoria or incongruence: a systematic review.
    Archives of Disease in Childhood",2024
"Impact of social transition in relation to gender for children and adolescents: a systematic review","Archives of Disease in Childhood","Hall, R., Taylor, J., Hewitt, C. E., Heathcote, C., Jarvis, S. W., Langton, T., Fraser, L.","Hall, R., Taylor, J., Hewitt, C. E., Heathcote, C., Jarvis, S. W., Langton, T., Fraser, L.
(2024)
  Impact of social transition in relation to gender for children and adolescents: a systematic review.
    Archives of Disease in Childhood","Hall, R., Taylor, J., Hewitt, C. E., Heathcote, C., Jarvis, S. W., Langton, T., Fraser, L.
(2024)
  Impact of social transition in relation to gender for children and adolescents: a systematic review.
    Archives of Disease in Childhood",2024
"Puberty blockers for gender dysphoria in youth: A systematic review and meta-analysis","Archives of Disease in Childhood","Miroshnychenko, A., Roldan, Y., Ibrahim, S., Kulatunga-Moruzi, C., Montante, S., Couban, R., Guyatt, G., Brignardello-Petersen, R.","Miroshnychenko, A., Roldan, Y., Ibrahim, S., Kulatunga-Moruzi, C., Montante, S., Couban, R., Guyatt, G., Brignardello-Petersen, R.
(2025)
  Puberty blockers for gender dysphoria in youth: A systematic review and meta-analysis.
    Archives of Disease in Childhood","Miroshnychenko, A., Roldan, Y., Ibrahim, S., Kulatunga-Moruzi, C., Montante, S., Couban, R., Guyatt, G., Brignardello-Petersen, R.
(2025)
  Puberty blockers for gender dysphoria in youth: A systematic review and meta-analysis.
    Archives of Disease in Childhood",2025
"Beyond NICE: Updated systematic review on the current evidence for using puberty blockers and cross-sex hormones in minors with gender dysphoria: Electronic supplementary online materials I: adapted abbreviated English version","Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie","Zepf, F. D., König, L., Kaiser, A., Ligges, C., Ligges, M., Roessner, V., Banaschewski, T., Holtmann, M.","Zepf, F. D., König, L., Kaiser, A., Ligges, C., Ligges, M., Roessner, V., Banaschewski, T., Holtmann, M.
(2024)
  Beyond NICE: Updated systematic review on the current evidence for using puberty blockers and cross-sex hormones in minors with gender dysphoria: Electronic supplementary online materials I: adapted abbreviated English version.
    Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie","Zepf, F. D., König, L., Kaiser, A., Ligges, C., Ligges, M., Roessner, V., Banaschewski, T., Holtmann, M.
(2024)
  Beyond NICE: Updated systematic review on the current evidence for using puberty blockers and cross-sex hormones in minors with gender dysphoria: Electronic supplementary online materials I: adapted abbreviated English version.
    Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie",2024
"Interventions to suppress puberty in adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood","Taylor, J., Mitchell, A., Hall, R., Heathcote, C., Langton, T., Fraser, L., Hewitt, C. E.","Taylor, J., Mitchell, A., Hall, R., Heathcote, C., Langton, T., Fraser, L., Hewitt, C. E.
(2024)
  Interventions to suppress puberty in adolescents experiencing gender dysphoria or incongruence: a systematic review.
    Archives of Disease in Childhood","Taylor, J., Mitchell, A., Hall, R., Heathcote, C., Langton, T., Fraser, L., Hewitt, C. E.
(2024)
  Interventions to suppress puberty in adolescents experiencing gender dysphoria or incongruence: a systematic review.
    Archives of Disease in Childhood",2024
"A PRISMA systematic review of adolescent gender dysphoria literature: 3) treatment","PLOS Global Public Health","Thompson, L., Sarovic, D., Wilson, P., Irwin, L., Visnitchi, D., Sämfjord, A., Gillberg, C., Robinson, J.","Thompson, L., Sarovic, D., Wilson, P., Irwin, L., Visnitchi, D., Sämfjord, A., Gillberg, C., Robinson, J.
(2023)
  A PRISMA systematic review of adolescent gender dysphoria literature: 3) treatment.
    PLOS Global Public Health","Thompson, L., Sarovic, D., Wilson, P., Irwin, L., Visnitchi, D., Sämfjord, A., Gillberg, C., Robinson, J.
(2023)
  A PRISMA systematic review of adolescent gender dysphoria literature: 3) treatment.
    PLOS Global Public Health",2023
"A systematic review of hormone treatment for children with gender dysphoria and recommendations for research","Acta Paediatrica","Ludvigsson, J. F., Adolfsson, J., Höistad, M., Rydelius, P. A., Kriström, B., Landén, M.","Ludvigsson, J. F., Adolfsson, J., Höistad, M., Rydelius, P. A., Kriström, B., Landén, M.
(2023)
  A systematic review of hormone treatment for children with gender dysphoria and recommendations for research.
    Acta Paediatrica","Ludvigsson, J. F., Adolfsson, J., Höistad, M., Rydelius, P. A., Kriström, B., Landén, M.
(2023)
  A systematic review of hormone treatment for children with gender dysphoria and recommendations for research.
    Acta Paediatrica",2023
"Evidence review: gonadotrophin releasing hormone analogues for children and adolescents with gender dysphoria","      https://www.engage.england.nhs.uk/consultation/puberty-suppressing-hormones/user_uploads/nice-evidence-review-gnrh-analogues-for-children-and-adolescents-with-gender-dysphoria-october-2020.pdf","National Institute for Health and Care Excellence (NICE)","National Institute for Health and Care Excellence (NICE)
(2020)
  Evidence review: gonadotrophin releasing hormone analogues for children and adolescents with gender dysphoria.
          https://www.engage.england.nhs.uk/consultation/puberty-suppressing-hormones/user_uploads/nice-evidence-review-gnrh-analogues-for-children-and-adolescents-with-gender-dysphoria-october-2020.pdf","www.engage.england.nhs.uk/consultation/puberty-suppressing-hormones/user_uploads/nice-evidence-review-gnrh-analogues-for-children-and-adolescents-with-gender-dysphoria-october-2020.pdf",2020
"Lääketieteelliset menetelmät sukupuolivariaatioihin liittyvän dysforian hoidossa. Systemaattinen katsaus [Medical approaches to the treatment of gender dysphoria. A systematic review]","        106","Pasternack, I., Söderström, I., Saijonkari, M., Mäkelä, M.","Pasternack, I., Söderström, I., Saijonkari, M., Mäkelä, M.
(2019)
  Lääketieteelliset menetelmät sukupuolivariaatioihin liittyvän dysforian hoidossa. Systemaattinen katsaus [Medical approaches to the treatment of gender dysphoria. A systematic review].
            106","Pasternack, I., Söderström, I., Saijonkari, M., Mäkelä, M.
(2019)
  Lääketieteelliset menetelmät sukupuolivariaatioihin liittyvän dysforian hoidossa. Systemaattinen katsaus [Medical approaches to the treatment of gender dysphoria. A systematic review].
            106",2019
"Gender affirming hormone therapy for individuals with gender dysphoria aged <26 years: a systematic review and meta-analysis","Archives of Disease in Childhood","Miroshnychenko, A., Ibrahim, S., Roldan, Y., Kulatunga-Moruzi, C., Montante, S., Couban, R., Guyatt, G., Brignardello-Petersen, R.","Miroshnychenko, A., Ibrahim, S., Roldan, Y., Kulatunga-Moruzi, C., Montante, S., Couban, R., Guyatt, G., Brignardello-Petersen, R.
(2025)
  Gender affirming hormone therapy for individuals with gender dysphoria aged <26 years: a systematic review and meta-analysis.
    Archives of Disease in Childhood","Miroshnychenko, A., Ibrahim, S., Roldan, Y., Kulatunga-Moruzi, C., Montante, S., Couban, R., Guyatt, G., Brignardello-Petersen, R.
(2025)
  Gender affirming hormone therapy for individuals with gender dysphoria aged <26 years: a systematic review and meta-analysis.
    Archives of Disease in Childhood",2025
"Masculinising and feminising hormone interventions for adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood","Taylor, J., Mitchell, A., Hall, R., Langton, T., Fraser, L., Hewitt, C. E.","Taylor, J., Mitchell, A., Hall, R., Langton, T., Fraser, L., Hewitt, C. E.
(2024)
  Masculinising and feminising hormone interventions for adolescents experiencing gender dysphoria or incongruence: a systematic review.
    Archives of Disease in Childhood","Taylor, J., Mitchell, A., Hall, R., Langton, T., Fraser, L., Hewitt, C. E.
(2024)
  Masculinising and feminising hormone interventions for adolescents experiencing gender dysphoria or incongruence: a systematic review.
    Archives of Disease in Childhood",2024
"The Effect of Gender-Affirming Hormone Therapy on the Risk of Subclinical Atherosclerosis in the Transgender Population: A Systematic Review","Endocrine Practice","Moreira Allgayer, R. M., Borba, G. D. S., Moraes, R. S., Ramos, R. B., Spritzer, P. M.","Moreira Allgayer, R. M., Borba, G. D. S., Moraes, R. S., Ramos, R. B., Spritzer, P. M.
(2023)
  The Effect of Gender-Affirming Hormone Therapy on the Risk of Subclinical Atherosclerosis in the Transgender Population: A Systematic Review.
    Endocrine Practice","Moreira Allgayer, R. M., Borba, G. D. S., Moraes, R. S., Ramos, R. B., Spritzer, P. M.
(2023)
  The Effect of Gender-Affirming Hormone Therapy on the Risk of Subclinical Atherosclerosis in the Transgender Population: A Systematic Review.
    Endocrine Practice",2023
"Hormone Therapy, Mental Health, and Quality of Life Among Transgender People: A Systematic Review","Journal of the Endocrine Society","Baker, K. E., Wilson, L. M., Sharma, R., Dukhanin, V., McArthur, K., Robinson, K. A.","Baker, K. E., Wilson, L. M., Sharma, R., Dukhanin, V., McArthur, K., Robinson, K. A.
(2021)
  Hormone Therapy, Mental Health, and Quality of Life Among Transgender People: A Systematic Review.
    Journal of the Endocrine Society","Baker, K. E., Wilson, L. M., Sharma, R., Dukhanin, V., McArthur, K., Robinson, K. A.
(2021)
  Hormone Therapy, Mental Health, and Quality of Life Among Transgender People: A Systematic Review.
    Journal of the Endocrine Society",2021
"Systematic Review of the Long-Term Effects of Transgender Hormone Therapy on Bone Markers and Bone Mineral Density and Their Potential Effects in Implant Therapy","Journal of Clinical Medicine","Delgado-Ruiz, R., Swanson, P., Romanos, G.","Delgado-Ruiz, R., Swanson, P., Romanos, G.
(2019)
  Systematic Review of the Long-Term Effects of Transgender Hormone Therapy on Bone Markers and Bone Mineral Density and Their Potential Effects in Implant Therapy.
    Journal of Clinical Medicine","Delgado-Ruiz, R., Swanson, P., Romanos, G.
(2019)
  Systematic Review of the Long-Term Effects of Transgender Hormone Therapy on Bone Markers and Bone Mineral Density and Their Potential Effects in Implant Therapy.
    Journal of Clinical Medicine",2019
"Hormonal Treatment in Young People With Gender Dysphoria: A Systematic Review","Pediatrics","Chew, D., Anderson, J., Williams, K., May, T., Pang, K.","Chew, D., Anderson, J., Williams, K., May, T., Pang, K.
(2018)
  Hormonal Treatment in Young People With Gender Dysphoria: A Systematic Review.
    Pediatrics","Chew, D., Anderson, J., Williams, K., May, T., Pang, K.
(2018)
  Hormonal Treatment in Young People With Gender Dysphoria: A Systematic Review.
    Pediatrics",2018
"Quality of the World Professional Association for Transgender Health Guideline Standards of Care 8: An Appraisal Using the AGREE II Instrument","Archives of Sexual Behavior","Zhang, Y., Januś, D., Kaltiala, R., Karvonen, M., Ptak, J. J., Yepes-Nuñez, J. J.","Zhang, Y., Januś, D., Kaltiala, R., Karvonen, M., Ptak, J. J., Yepes-Nuñez, J. J.
(2026)
  Quality of the World Professional Association for Transgender Health Guideline Standards of Care 8: An Appraisal Using the AGREE II Instrument.
    Archives of Sexual Behavior","Zhang, Y., Januś, D., Kaltiala, R., Karvonen, M., Ptak, J. J., Yepes-Nuñez, J. J.
(2026)
  Quality of the World Professional Association for Transgender Health Guideline Standards of Care 8: An Appraisal Using the AGREE II Instrument.
    Archives of Sexual Behavior",2026
"Endocrine care of transgender and gender-diverse adults: Swiss recommendations","Swiss Medical Weekly","Cihan, H., Bischofberger-Baumann, B., Bucher, J., Caironi, V., Claude, F., Vento, F. D., Egloff, M., Flütsch, N., Nuñez, D. G., …, Winzeler, B.","Cihan, H., Bischofberger-Baumann, B., Bucher, J., Caironi, V., Claude, F., Vento, F. D., Egloff, M., Flütsch, N., Nuñez, D. G., …, Winzeler, B.
(2026)
  Endocrine care of transgender and gender-diverse adults: Swiss recommendations.
    Swiss Medical Weekly","Cihan, H., Bischofberger-Baumann, B., Bucher, J., Caironi, V., Claude, F., Vento, F. D., Egloff, M., Flütsch, N., Nuñez, D. G., …, Winzeler, B.
(2026)
  Endocrine care of transgender and gender-diverse adults: Swiss recommendations.
    Swiss Medical Weekly",2026
"AWMF-Leitlinie: Geschlechtsinkongruenz und Geschlechtsdysphorie im Kindes- und Jugendalter: Diagnostik und Behandlung (S2k) [Gender incongruence and gender dysphoria in childhood and adolescence – diagnosis and treatment]","      https://register.awmf.org/assets/guidelines/028-014l_S2k_Geschlechtsinkongruenz-Geschlechtsdysphorie-Kinder-Jugendliche_2025-06.pdf","German Society for Child and Adolescent Psychiatry, Psychosomatics and Psychotherapy (DGKJP)","German Society for Child and Adolescent Psychiatry, Psychosomatics and Psychotherapy (DGKJP)
(2025)
  AWMF-Leitlinie: Geschlechtsinkongruenz und Geschlechtsdysphorie im Kindes- und Jugendalter: Diagnostik und Behandlung (S2k) [Gender incongruence and gender dysphoria in childhood and adolescence – diagnosis and treatment].
          https://register.awmf.org/assets/guidelines/028-014l_S2k_Geschlechtsinkongruenz-Geschlechtsdysphorie-Kinder-Jugendliche_2025-06.pdf","register.awmf.org/assets/guidelines/028-014l_S2k_Geschlechtsinkongruenz-Geschlechtsdysphorie-Kinder-Jugendliche_2025-06.pdf",2025
"Endocrine Management of Transgender and Gender-Diverse Adolescents: Expert Opinion of the ESPE Working Group on Gender Incongruence and the Endo-ERN Main Thematic Group on Sexual Development and Maturation","Hormone Research in Paediatrics","Hannema, S. E., Busiah, K., Butler, G., Claahsen-van de Grinten, H. L., Cools, M., Gawlik-Starzyk, A. M., Klink, D., Main, K. M., Martinerie, L., …, de Vries, M. C.","Hannema, S. E., Busiah, K., Butler, G., Claahsen-van de Grinten, H. L., Cools, M., Gawlik-Starzyk, A. M., Klink, D., Main, K. M., Martinerie, L., …, de Vries, M. C.
(2024)
  Endocrine Management of Transgender and Gender-Diverse Adolescents: Expert Opinion of the ESPE Working Group on Gender Incongruence and the Endo-ERN Main Thematic Group on Sexual Development and Maturation.
    Hormone Research in Paediatrics","Hannema, S. E., Busiah, K., Butler, G., Claahsen-van de Grinten, H. L., Cools, M., Gawlik-Starzyk, A. M., Klink, D., Main, K. M., Martinerie, L., …, de Vries, M. C.
(2024)
  Endocrine Management of Transgender and Gender-Diverse Adolescents: Expert Opinion of the ESPE Working Group on Gender Incongruence and the Endo-ERN Main Thematic Group on Sexual Development and Maturation.
    Hormone Research in Paediatrics",2024
"Independent review of gender identity services for children and young people: final report","      https://cass.independent-review.uk/wp-content/uploads/2024/04/CassReview_Final.pdf","Cass, H.","Cass, H.
(2024)
  Independent review of gender identity services for children and young people: final report.
          https://cass.independent-review.uk/wp-content/uploads/2024/04/CassReview_Final.pdf","cass.independent-review.uk/wp-content/uploads/2024/04/CassReview_Final.pdf",2024
"Care of children and adolescents with gender dysphoria: summary","      https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/kunskapsstod/2023-1-8330.pdf","Socialstyrelsen","Socialstyrelsen
(2022)
  Care of children and adolescents with gender dysphoria: summary.
          https://www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/kunskapsstod/2023-1-8330.pdf","www.socialstyrelsen.se/globalassets/sharepoint-dokument/artikelkatalog/kunskapsstod/2023-1-8330.pdf",2022
"Standards of care for the health of transgender and gender diverse people, version 8","International Journal of Transgender Health","Coleman, E., Radix, A. E., Bouman, W. P., Brown, G. R., de Vries, A. L. C., Deutsch, M. B., Ettner, R., Fraser, L., Goodman, M., …, Arcelus, J.","Coleman, E., Radix, A. E., Bouman, W. P., Brown, G. R., de Vries, A. L. C., Deutsch, M. B., Ettner, R., Fraser, L., Goodman, M., …, Arcelus, J.
(2022)
  Standards of care for the health of transgender and gender diverse people, version 8.
    International Journal of Transgender Health","Coleman, E., Radix, A. E., Bouman, W. P., Brown, G. R., de Vries, A. L. C., Deutsch, M. B., Ettner, R., Fraser, L., Goodman, M., …, Arcelus, J.
(2022)
  Standards of care for the health of transgender and gender diverse people, version 8.
    International Journal of Transgender Health",2022
"Review of gender identity services for children and young people","BMJ","Cass, H.","Cass, H.
(2022)
  Review of gender identity services for children and young people.
    BMJ","Cass, H.
(2022)
  Review of gender identity services for children and young people.
    BMJ",2022
